Hour,DryBulb,DewPnt,target_variable,Humidity
1,37,25,827,87.5
2,37,25,798,88
3,39,24,778,88
4,38,22,778,88
5,37,20,770,88
6,36,19,770,88
7,35,20,891,89
8,35,20,1023,90
9,35,21,1055,90
10,37,21,1034,90
11,38,22,996,88.5
12,39,22,975,87
13,40,22,960,83.99999999
14,40,22,951,80.99999996
15,40,22,965,73.5
16,40,22,973,66
17,38,22,1115,48.49999995
18,36,22,1120,31
19,35,22,1209,26.99999999
20,35,22,1135,22.99999999
21,34,22,1074,22
22,33,22,1031,21
23,32,23,897,20
24,31,23,820,19
1,30,22,1407,18
2,29,22,1393,17
3,28,22,1395,16.5
4,28,22,1342,16
5,28,23,1364,16
6,29,24,1315,16
7,30,25,1289,15.5
8,30,25,1299,15
9,30,26,1419,15.5
10,30,27,1440,16
11,31,29,1435,16.5
12,31,30,1476,17
13,32,30,1484,20.00000001
14,33,31,1526,23.00000001
15,33,31,1689,25.5
16,33,31,1593,28
17,33,32,1527,48.50000006
18,33,32,1712,69
19,34,32,1746,72.00000001
20,33,32,1578,75
21,33,32,1616,75.5
22,32,31,1667,76
23,32,31,1523,76
24,32,31,1297,76
1,33,32,1402,74.5
2,33,32,1453,73.00000002
3,33,31,1434,76.5
4,33,32,1445,80
5,33,32,1392,79.5
6,33,32,1523,79
7,33,32,1362,80.5
8,33,33,1459,82.00000002
9,33,33,1561,85
10,34,33,1533,88
11,35,34,1578,90.00000001
12,35,34,1584,92
13,36,35,1690,91
14,38,37,1766,90
15,39,38,1607,89.5
16,40,39,1688,89
17,40,39,1692,88
18,40,40,1694,87
19,41,40,1626,85.5
20,41,40,1814,84
21,40,39,1765,84.5
22,40,40,1732,85
23,41,40,1529,80.49999999
24,41,40,1526,76
1,42,41,1612,75.5
2,42,41,1521,74.99999999
3,42,41,1485,74
4,43,41,1483,73
5,43,41,1443,75.00000001
6,43,40,1439,77
7,43,40,1418,75.5
8,43,39,1364,74
9,43,38,1421,74.5
10,44,40,1372,75
11,46,38,1347,76
12,46,37,1274,77
13,46,35,1339,78.5
14,45,34,1466,80
15,43,34,1471,80
16,41,35,1419,80
17,40,34,1374,80.5
18,39,33,1492,81
19,39,33,1556,82.5
20,38,32,1645,84.00000001
21,37,32,1575,85
22,37,32,1554,86
23,36,31,1495,86.5
24,35,31,1491,87
1,34,30,1307,87.5
2,33,29,1312,88
3,32,29,1309,88.5
4,32,29,1387,89
5,31,29,1379,89.5
6,31,29,1430,90
7,31,28,1315,89.5
8,31,29,1304,89
9,31,28,1497,89.5
10,31,28,1632,90
11,31,28,1496,91
12,32,28,1528,92
13,31,29,1565,89.99999999
14,31,29,1506,87.99999997
15,32,29,1586,83.5
16,32,30,1550,79
17,32,30,1541,70.49999998
18,32,30,1590,62
19,32,30,1655,47.49999996
20,31,30,1748,33
21,31,30,1627,33
22,31,30,1693,33
23,31,30,1614,36.00000001
24,31,29,1453,39
1,31,29,1413,44.50000002
2,30,28,1385,50.00000001
3,30,26,1408,52.5
4,29,24,1529,55
5,29,23,1571,56.5
6,28,22,1465,58
7,28,21,1419,60.00000001
8,27,20,1458,62.00000001
9,27,21,1470,63.5
10,28,21,1523,65
11,29,20,1591,66.5
12,30,21,1531,68
13,31,21,1524,69.5
14,32,20,1623,71
15,33,19,1501,71
16,32,19,1642,71
17,31,19,1535,71.5
18,30,18,1752,72
19,28,20,1461,73
20,26,17,1760,74
21,24,10,1665,73.5
22,22,9,1698,73
23,21,8,1306,73
24,19,6,1369,73
1,18,5,1559,73
2,17,5,1563,73
3,16,4,1736,73
4,16,4,1576,73
5,15,4,1506,73.5
6,15,4,1497,74
7,14,4,1543,73.5
8,14,4,1555,73
9,14,3,1517,72.5
10,16,2,1648,72
11,17,2,1517,72
12,19,2,1754,72
13,20,2,1642,69.49999999
14,19,2,1800,67
15,19,5,1710,67.5
16,20,4,1880,68
17,19,5,1676,68.5
18,18,5,1799,69
19,18,5,1784,70.5
20,18,5,2046,72
21,18,5,1693,71.5
22,17,4,1916,71
23,17,4,1811,71.5
24,16,3,1778,72
1,15,0,1748,72.5
2,14,1,1639,73
3,13,0,1539,73
4,12,-1,1590,73
5,11,-2,1588,72.5
6,11,-4,1563,72
7,10,-5,1581,71
8,9,-4,1631,70
9,9,-5,1564,70
10,10,-6,1662,70
11,12,-6,1653,69.5
12,14,-5,1689,69
13,16,-4,1728,69.5
14,17,-4,1792,70.00000001
15,18,-3,1767,71
16,17,-3,1853,72
17,17,-2,1809,72.5
18,14,-2,1913,73
19,13,-2,1742,73.5
20,12,-2,2152,74.00000001
21,11,-2,1762,75.5
22,10,-2,1854,77
23,9,-1,1833,80.50000001
24,9,-1,1764,84
1,8,-3,1413,86.00000001
2,6,-5,1385,88.00000001
3,6,-6,1408,90.5
4,5,-8,1529,93
5,3,-8,1571,93
6,2,-9,1465,93
7,1,-10,1419,94
8,0,-11,1458,95
9,0,-13,1470,95
10,0,-15,1523,95
11,1,-16,1591,95.5
12,2,-17,1531,96
13,4,-16,1524,94.5
14,5,-15,1623,92.99999999
15,6,-15,1501,92
16,7,-14,1642,91
17,6,-14,1535,88.99999999
18,4,-14,1752,87
19,3,-14,1461,81.49999998
20,2,-14,1760,76.00000002
21,1,-14,1665,79.5
22,1,-15,1698,83
23,0,-15,1306,83
24,-1,-15,1369,83
1,-2,-16,1559,83.5
2,-2,-16,1563,84.00000001
3,-3,-15,1736,86.5
4,-3,-15,1576,89
5,-4,-15,1506,90
6,-4,-15,1497,91
7,-4,-15,1543,91.5
8,-5,-15,1555,92.00000001
9,-4,-15,1517,93
10,-2,-15,1648,94
11,1,-14,1517,93.5
12,4,-14,1754,93
13,6,-13,1642,93
14,8,-13,1800,93.00000001
15,10,-12,1710,94
16,10,-13,1880,95
17,9,-14,1676,95.5
18,7,-13,1799,96
19,6,-13,1784,96
20,4,-14,2046,96
21,3,-14,1693,95.5
22,3,-14,1916,95
23,2,-13,1811,94
24,2,-13,1778,93
1,1,-14,1748,95.50000001
2,1,-13,1639,98
3,0,-13,1539,98
4,0,-13,1590,98
5,0,-13,1588,98
6,0,-13,1563,98
7,-1,-13,1581,97.5
8,-1,-12,1631,97
9,0,-11,1564,96.5
10,4,-10,1662,96
11,6,-8,1653,91.49999999
12,10,-6,1689,87
13,14,-5,1728,84.99999999
14,16,-4,1792,82.99999999
15,19,-2,1767,80.5
16,20,-2,1853,78
17,20,-1,1809,74.99999999
18,20,0,1913,72
19,20,2,1742,69.49999999
20,21,2,2152,67.00000001
21,21,4,1762,68.5
22,21,5,1854,70
23,22,6,1833,72.50000001
24,23,7,1764,75
1,22,10,1404,72.99999999
2,22,15,1259,70.99999998
3,22,18,1237,68
4,22,19,1135,65
5,22,20,1147,64.5
6,22,20,1143,64
7,23,20,1157,69.00000001
8,23,19,1161,74
9,23,19,1163,74.5
10,24,20,1240,75
11,25,20,1276,79.00000001
12,26,20,1305,83
13,27,21,1300,83
14,28,22,1306,82.99999999
15,29,22,1390,81.5
16,29,23,1298,80
17,30,23,1320,80.5
18,29,24,1516,81
19,29,24,1501,80.5
20,28,25,1589,80
21,28,25,1588,80.5
22,28,25,1591,81
23,28,24,1510,85.50000001
24,28,24,1425,90
1,27,22,1342,91.5
2,26,22,1268,93
3,27,21,1231,93
4,26,21,1253,93
5,25,20,1222,93
6,25,19,1194,93
7,25,20,1218,91.5
8,26,21,1162,89.99999999
9,27,22,1216,88
10,29,24,1242,86
11,31,26,1270,83.49999999
12,33,27,1272,81
13,35,28,1254,76.99999999
14,36,28,1340,72.99999999
15,36,29,1308,72
16,33,25,1225,71
17,30,18,1221,70
18,27,10,1363,69
19,22,3,1418,65.99999999
20,19,-1,1446,63
21,16,-3,1510,63.5
22,13,-3,1407,64
23,10,-9,1340,63
24,8,-11,1242,62
1,6,-14,1130,62.5
